Station;Date;Annee;Cle;Mois;Jour;Saison;Partenaire;Province;Bassin
QU02OD3004;2017-05-08T10:10:00Z;2017;QU02OD3004_2017-05-08 10:10:00;5;8;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-05-15T09:30:00Z;2017;QU02OD3004_2017-05-15 09:30:00;5;15;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-05-25T09:55:00Z;2017;QU02OD3004_2017-05-25 09:55:00;5;25;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-05-30T09:40:00Z;2017;QU02OD3004_2017-05-30 09:40:00;5;30;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-06-05T10:25:00Z;2017;QU02OD3004_2017-06-05 10:25:00;6;5;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-06-12T09:55:00Z;2017;QU02OD3004_2017-06-12 09:55:00;6;12;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-06-19T09:40:00Z;2017;QU02OD3004_2017-06-19 09:40:00;6;19;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-06-27T09:45:00Z;2017;QU02OD3004_2017-06-27 09:45:00;6;27;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-07-04T10:00:00Z;2017;QU02OD3004_2017-07-04 10:00:00;7;4;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-07-12T09:45:00Z;2017;QU02OD3004_2017-07-12 09:45:00;7;12;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-07-20T10:00:00Z;2017;QU02OD3004_2017-07-20 10:00:00;7;20;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-07-25T10:00:00Z;2017;QU02OD3004_2017-07-25 10:00:00;7;25;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-08-03T09:50:00Z;2017;QU02OD3004_2017-08-03 09:50:00;8;3;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-08-10T09:50:00Z;2017;QU02OD3004_2017-08-10 09:50:00;8;10;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-08-14T09:35:00Z;2017;QU02OD3004_2017-08-14 09:35:00;8;14;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-08-21T09:35:00Z;2017;QU02OD3004_2017-08-21 09:35:00;8;21;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2017-08-30T08:35:00Z;2017;QU02OD3004_2017-08-30 08:35:00;8;30;Summer;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
QU02OD3004;2018-05-16T09:35:00Z;2018;QU02OD3004_2018-05-16 09:35:00;5;16;Spring;QC-Fed;QC;GRANDS LACS - FLEUVE SAINT-LAURENT
