Core;Partenaire;Province;Station;Bassin
0;MB;MB;MB05OHS003;
0;YT;YT;YT08AB0009;OCÉAN PACIFIQUE
0;YT;YT;YT09FB0003;OCÉAN PACIFIQUE
0;YT;YT;YT10MA0011;FLEUVE MACKENZIE
0;NB;NB;00BR01AD0054;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AF0080;OCÉAN ATLANTIQUE
1;NB;NB;00BR01AF0084;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AF0085;OCÉAN ATLANTIQUE
1;NB;NB;00BR01AG0008;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AH0008;OCÉAN ATLANTIQUE
1;NB;NB;00BR01AH0019;OCÉAN ATLANTIQUE
1;NB;NB;00BR01AJ0067;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AJ0079;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AJ0080;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AK0045;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AK0155;OCÉAN ATLANTIQUE
1;NB;NB;00BR01AK0157;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AK0158;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AK0159;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AK0191;OCÉAN ATLANTIQUE
1;NB;NB;00BR01AL0036;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AM0002;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AN0015;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AO0105;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AP0021;OCÉAN ATLANTIQUE
1;NB;NB;00BR01AP0067;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AP0151;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AP0175;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AP0195;OCÉAN ATLANTIQUE
1;NB;NB;00BR01AP0241;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AP0308;OCÉAN ATLANTIQUE
1;NB;NB;00BR01AQ0003;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AQ0024;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AR0021;OCÉAN ATLANTIQUE
0;NB;NB;00BR01AR0067;OCÉAN ATLANTIQUE
1;NB;NB;00BR01AR0092;OCÉAN ATLANTIQUE
1;NB;NB;00BR01BA0030;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BB0002;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BE0029;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BJ0057;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BJ0065;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BJ0071;OCÉAN ATLANTIQUE
1;NB;NB;00BR01BK0042;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BL0020;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BL0037;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BM0005;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BM0078;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BN0001;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BN0021;OCÉAN ATLANTIQUE
1;NB;NB;00BR01BO0007;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BO0008;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BO0041;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BP0001;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BQ0012;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BQ0020;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BS0039;OCÉAN ATLANTIQUE
1;NB;NB;00BR01BS0085;OCÉAN ATLANTIQUE
1;NB;NB;00BR01BU0176;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BU0209;OCÉAN ATLANTIQUE
0;NB;NB;00BR01BV0024;OCÉAN ATLANTIQUE
0;NL;NL;NF02XA0001;OCÉAN ATLANTIQUE
0;NL;NL;NF02YE0004;OCÉAN ATLANTIQUE
1;NL;NL;NF02YE0005;OCÉAN ATLANTIQUE
1;NL;NL;NF02YG0001;OCÉAN ATLANTIQUE
0;NL;NL;NF02YH0018;OCÉAN ATLANTIQUE
1;NL;NL;NF02YJ0004;OCÉAN ATLANTIQUE
0;NL;NL;NF02YK0022;OCÉAN ATLANTIQUE
0;NL;NL;NF02YL0011;OCÉAN ATLANTIQUE
1;NL;NL;NF02YL0012;OCÉAN ATLANTIQUE
0;NL;NL;NF02YL0013;OCÉAN ATLANTIQUE
0;NL;NL;NF02YL0029;OCÉAN ATLANTIQUE
1;NL;NL;NF02YN0001;OCÉAN ATLANTIQUE
0;NL;NL;NF02YO0001;OCÉAN ATLANTIQUE
0;NL;NL;NF02YO0020;OCÉAN ATLANTIQUE
1;NL;NL;NF02YO0107;OCÉAN ATLANTIQUE
0;NL;NL;NF02YO0128;OCÉAN ATLANTIQUE
0;NL;NL;NF02YO0142;OCÉAN ATLANTIQUE
0;NL;NL;NF02YO0143;OCÉAN ATLANTIQUE
1;NL;NL;NF02YQ0030;OCÉAN ATLANTIQUE
